שולחן ערוך אורח חיים ג,כף החיים,שם: שאין בו מחיצות,{{פרשע1|כהח|טו}},טו
שולחן ערוך אורח חיים ג,כף החיים,סעיף ו': וכן אסור לישן בין מזרח למערב,{{פרשע1|כהח|טז}},טז
שולחן ערוך אורח חיים ג,כף החיים,סעיף ח': כשנפנה בשדה,{{פרשע1|כהח|יז}},יז
שולחן ערוך אורח חיים ג,כף החיים,שם: ובבקעה יתרחק עד מקום,{{פרשע1|כהח|יח}},יח
שולחן ערוך אורח חיים ג,כף החיים,סעיף ט': לא ישב,{{פרשע1|כהח|יט}},יט
שולחן ערוך אורח חיים ג,כף החיים,"סעיף יו""ד: לא יקנח ביד ימין",{{פרשע1|כהח|כ}},כ
שולחן ערוך אורח חיים ג,כף החיים,שם: לא יקנח,{{פרשע1|כהח|כא}},כא
שולחן ערוך אורח חיים ג,כף החיים,שם: לא יקנח ביד ימין,{{פרשע1|כהח|כב}},כב
שולחן ערוך אורח חיים ג,כף החיים,,{{פרשע1|כהח|כג}},כג
שולחן ערוך אורח חיים ג,כף החיים,,{{פרשע1|כהח|כד}},כד
שולחן ערוך אורח חיים ג,כף החיים,"סעיף י""א: לא יקנח בחרס",{{פרשע1|כהח|כה}},כה
שולחן ערוך אורח חיים ג,כף החיים,שם: משום כשפים,{{פרשע1|כהח|כו}},כו
שולחן ערוך אורח חיים ג,כף החיים,שם: ולא בעשבים יבשים,{{פרשע1|כהח|כז}},כז
שולחן ערוך אורח חיים ג,כף החיים,שם: שהמקנח בדבר שהאור שולט בו,{{פרשע1|כהח|כח}},כח
שולחן ערוך אורח חיים ג,כף החיים,שם: בדבר שהאור שולט בו,{{פרשע1|כהח|כט}},כט
שולחן ערוך אורח חיים ג,כף החיים,שם: ולא בצרור שקנח בו חבירו,{{פרשע1|כהח|ל}},ל
שולחן ערוך אורח חיים ג,כף החיים,איתא,{{פרשע1|כהח|לא}},לא
שולחן ערוך אורח חיים ג,כף החיים,"שם בהג""ה: ועכשיו שבתי כיסאות שלנו אינם בשדה",{{פרשע1|כהח|לב}},לב
שולחן ערוך אורח חיים ג,כף החיים,שם: נהגו לקנח בחרס,{{פרשע1|כהח|לג}},לג
שולחן ערוך אורח חיים ג,כף החיים,שם: וכן נהגו לקנח בדבר שהאור שולט בו,{{פרשע1|כהח|לד}},לד
שולחן ערוך אורח חיים ג,כף החיים,שם: וכן נהגו לקנח,{{פרשע1|כהח|לה}},לה
שולחן ערוך אורח חיים ג,כף החיים,"סעיף י""ב: יפנה בצניעות בלילה",{{פרשע1|כהח|לו}},לו
שולחן ערוך אורח חיים ג,כף החיים,"סעיף י""ג: לא ישתין מעומד מפני ניצוצות",{{פרשע1|כהח|לז}},לז
שולחן ערוך אורח חיים ג,כף החיים,שם: אם לא שיעמוד במקום גבוה,{{פרשע1|כהח|לח}},לח
שולחן ערוך אורח חיים ג,כף החיים,"סעיף י""ד: יזהר שלא יאחוז באמה",{{פרשע1|כהח|לט}},לט
שולחן ערוך אורח חיים ג,כף החיים,שם: אם לא מהעטרה ולמטה,{{פרשע1|כהח|מ}},מ
שולחן ערוך אורח חיים ג,כף החיים,שם: אלא אם כן הוא נשוי,{{פרשע1|כהח|מא}},מא
שולחן ערוך אורח חיים ג,כף החיים,שם: אלא אם כן הוא נשוי,{{פרשע1|כהח|מב}},מב
שולחן ערוך אורח חיים ג,כף החיים,שם: ומדת חסידות ליזהר אפילו הנשוי,{{פרשע1|כהח|מג}},מג
שולחן ערוך אורח חיים ג,כף החיים,"סעיף ט""ז: לא הותר לנשוי",{{פרשע1|כהח|מד}},מד
שולחן ערוך אורח חיים ג,כף החיים,,{{פרשע1|כהח|מה}},מה
שולחן ערוך אורח חיים ג,כף החיים,"סעיף י""ז: המשהה נקביו",{{פרשע1|כהח|מו}},מו
שולחן ערוך אורח חיים ג,כף החיים,שם: עובר משום בל תשקצו,{{פרשע1|כהח|מז}},מז
שולחן ערוך אורח חיים ג,כף החיים,שם: משום בל תשקצו,{{פרשע1|כהח|מח}},מח
שולחן ערוך אורח חיים ג,כף החיים,,{{פרשע1|כהח|מט}},מט
שולחן ערוך אורח חיים ג,כף החיים,שם: משום בל תשקצו,{{פרשע1|כהח|נ}},נ
שולחן ערוך אורח חיים ג,כף החיים,,{{פרשע1|כהח|נא}},נא
שולחן ערוך אורח חיים ג,כף החיים,,{{פרשע1|כהח|נב}},נב
שולחן ערוך אורח חיים ד,כף החיים,סעיף א: ירחץ ידיו,{{פרשע1|כהח|א}},א
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|ב}},ב
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|ג}},ג
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|ד}},ד
שולחן ערוך אורח חיים ד,כף החיים,שם: ירחץ ידיו,{{פרשע1|כהח|ה}},ה
שולחן ערוך אורח חיים ד,כף החיים,שם: ויברך על נטילת ידיים,{{פרשע1|כהח|ו}},ו
שולחן ערוך אורח חיים ד,כף החיים,שם: ויברך על נטילת ידיים,{{פרשע1|כהח|ז}},ז
שולחן ערוך אורח חיים ד,כף החיים,שם: ויברך על נטילת ידיים,{{פרשע1|כהח|ח}},ח
שולחן ערוך אורח חיים ד,כף החיים,"בהג""ה: ויש אומרים גם אשר יצר",{{פרשע1|כהח|ט}},ט
שולחן ערוך אורח חיים ד,כף החיים,"שם: מים הפסולים לנטילת ידיים לסעודה (הג""ה: לקמן סימן ק""ס) כשרים לנטילת ידיים לתפילה, מיהו יש מי שאומר",{{פרשע1|כהח|י}},י
שולחן ערוך אורח חיים ד,כף החיים,שם: מיהו יש מי שאומר דלא מברך עלייהו,{{פרשע1|כהח|יא}},יא
שולחן ערוך אורח חיים ד,כף החיים,סעיף ב: ידקדק לערות עליהם מים ג' פעמים,{{פרשע1|כהח|יב}},יב
